what,kind,bundleId,bundleVersion,description,time
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657176765
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657187218
closed,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657187218
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657247984
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217657280656
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657297640
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217657339734
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657339968
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217657346562
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657346765
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217657356593
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217657356593
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217657356734
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217657411093
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657411250
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657414109
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217657443796
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657443984
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657518468
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1217657545281
executed,command,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.actions.OpenDeclaration,1217657548140
activated,view,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.ModuleHierarchyView,1217657602125
activated,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217657602515
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217657621171
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217695639421
